codigo,nombre,plan_vigente,tipo_carrera,resolucion,termino_anios
3,Profesorado en Física,1,C,MECYT 614/03,48
2,Profesorado en Matemática,1,C,MECYT 649/03,48
4,Profesorado en Química,1,C,MECYT 698/03,48
5,Profesorado en Educación Tecnológica,1,C,MECYT 443/04,48
7,Profesorado en Biología,1,C,MECYT 695/03,48
22,Licenciatura en Criminalística,3,C,MECYT 200/07,48
12,Análisis de Sistemas,6,R,ME 1610/15,36
23,Licenciatura en Accidentología Vial,3,C,MECYT 83/07,48
56,Licenciatura en Automatización y Control de Procesos Industriales,5,C,MECYT 56/09,48
6,Licenciatura en Biología,7,C,UADER 096/13,48
57,Licenciatura en Gestión Ambiental,5,C,MECYT 678/09,48
34,Licenciatura en Sistemas de Información,6,C,ME  1871/14,48
14,Tecnicatura Universitaria en Automatización y Control de Procesos Industriales,2,C,MECYT 691/03,36
32,Tecnicatura Universitaria en Gestión Ambiental,5,R,MECYT 678/09,49
19,Tecnicatura Universitaria en Granja y Producción Avícola,1,R,MECYT 257/03,36
17,Tecnicatura Universitaria en Planeamiento Industrial,1,R,MECYT 1069/03,36
31,Tecnicatura Universitaria en Producción Agropecuaria,4,R,MECYT 1318/07,36
16,Tecnicatura Universitaria en Telecomunicaciones,1,C,MECYT 538/03,36
9,Tecnicatura en Acuicultura,1,C,MECYT 58/04,48
20,Tecnicatura en Balística,3,C,MECYT 907/03,48
24,Tecnicatura en Documentología,3,C,MECYT 200/07,48
21,Tecnicatura en Papiloscopía,3,C,MECYT 907/03,48
37,Ingeniería en Telecomunicaciones,8,C,UADER 300/14,48
38,Licenciatura en Producción Agropecuaria,9,C,UADER 305/15,48
39,Profesorado en Educación Secundaria y Superior en Tecnologías de la Información y la Comunicación,9,C,UADER 321/15,48
33,Licenciatura en Seguridad Pública (Sólo Oficiales de Policía de ER),5,C,ME 632-09,48
